"","official_perl_cert_for_me","official_perl_cert_for_others","perl_cert_comments"
"1010",1,5,"certification should be strong wrt maintenance"
"1011",6,6,"I would like to have one :-)"
"1012",1,1,""
"1013",NA,NA,""
"1014",2,1,""
"1015",5,5,""
"1016",2,1,""
"1017",NA,NA,""
"1018",3,4,"i don't think it is neccessary"
"1019",NA,NA,""
"1020",7,7,"2 or 3 parts like beginner - advanced would be a good idea."
"1021",2,2,"That's just a problem, the same way other certs are. Most are useless. People can use their CPAN modules and talks as references, they don't need a cert. It just excludes people who don't have the time"
"1022",4,5,""
"1023",6,6,""
"1024",7,7,"Having experienced Microsoft certification, perl training & certification would be an excellent idea  "
"1025",3,3,""
"1026",NA,NA,""
"1027",4,5,""
"1028",NA,NA,""
"1029",6,6,""
"1030",3,5,"I doubt if it would achieve a great deal."
"1031",5,5,""
"1032",3,1,"Official Perl certification reeks of One Way To Do It."
"1033",1,1,""
"1034",1,1,""
"1035",NA,NA,""
"1036",3,1,"strongly disagree with the whole concept, especially for programming languages. Perl is supposed to be a tool, and tools are supposed to be simple and effective.[CR]Nobody gets to be a good programmer because of a piece of paper. The principles of good programming are independent of the language."
"1037",NA,NA,""
"1038",3,3,"don't see the need (too ""corporate"" of an idea)"
"1039",NA,NA,""
"1040",2,2,""
"1041",2,2,""
"1042",NA,NA,""
"1043",3,1,""
"1044",NA,NA,""
"1045",1,1,""
"1046",1,1,""
"1047",3,3,""
"1048",NA,NA,""
"1049",NA,NA,""
"1050",4,7,""
"1051",3,3,"Demonstrated ability under Production pressure beats Certs on the Wall everyday.  "
"1052",6,6,""
"1053",4,5,""
"1054",5,5,""
"1055",NA,NA,""
"1056",2,2,"People take certification seriously..?"
"1057",2,2,""
"1058",NA,NA,""
"1059",NA,NA,""
"1060",6,6,"When applying for a job, it's always a plus to be able to prove that you actually know the stuff that is on your resumŽ"
"1061",1,1,""
"1062",6,6,""
"1063",1,1,"Can provide an opportunity to encourage learning or cargo-culting of modern perl programming practices."
"1064",NA,NA,""
"1065",NA,NA,""
"1066",1,1,""
"1067",1,1,""
"1068",NA,NA,""
"1069",1,1,""
"1070",3,6,""
"1071",NA,NA,""
"1072",5,5,"I'm not sure it would have much practical meaning."
"1073",NA,NA,""
"1074",3,1,"Another piece of paper to me. I would rather hang a well written Perl program on the wall."
"1075",1,1,""
"1076",5,5,""
"1077",NA,NA,""
"1078",5,5,"I don't think certification really adds a lot of value, but I have the impression that it is often perceived as valuable in a corporate context."
"1079",7,7,"maybe have different levels of certification; you don't need to know how to use every module in CPAN to do effective and powerful Perl programming"
"1080",6,6,""
"1081",NA,NA,""
"1082",NA,NA,""
"1083",1,1,"I've never considered computer-related certifications to be meaningful in general, so I've ignored all discussion of Perl certs.  Given this, I can't assess whether any potential Perl certs would be useful or not worth the paper they're printed on."
"1084",1,1,""
"1085",NA,NA,""
"1086",2,2,"boohaa"
"1087",1,1,""
"1088",NA,NA,""
"1089",2,5,""
"1090",3,3,""
"1091",6,6,""
"1092",1,1,""
"1093",3,3,"its a stupid idea"
"1094",NA,NA,""
"1095",3,1,""
"1096",2,2,"Not a fan of certification in any language"
"1097",NA,NA,""
"1098",NA,NA,""
"1099",6,6,""
"1100",NA,NA,""
"1101",NA,NA,""
"1102",NA,NA,""
"1103",5,5,""
"1104",6,6,""
"1105",2,2,""
"1106",NA,NA,""
"1107",2,3,"TIMTOWTDI and ""professional"" certificates don't harmonize"
"1108",NA,NA,""
"1109",4,4,""
"1110",NA,NA,""
"1111",NA,NA,""
"1112",3,6,""
"1113",NA,NA,""
"1114",3,3,""
"1115",6,6,"It may give perl (and the developers) more credibility in the enterprise environment."
"1116",3,3,""
"1117",5,6,"I had one from BrainBench...it's possible to get one now - how widely recognized it is would be another question. Or how useful... we have trouble finding any perl programmers to hire, let alone competent ones."
"1118",NA,NA,""
"1119",NA,NA,""
"1120",6,6,""
"1121",1,1,""
"1122",6,6,""
"1123",2,2,"Language certifications are truly dubious. They imply someone who put considerable effort into learning the language, which implies that either, it was their first language, or they aren't all that good at learning new languages. And who wants to admit *that*?"
"1124",2,2,""
"1125",NA,NA,""
"1126",5,5,""
"1127",5,5,""
"1128",NA,NA,""
"1129",NA,NA,""
"1130",1,1,""
"1131",5,5,"Sure, why the hell not?"
"1132",2,1,""
"1133",1,1,""
"1134",NA,NA,""
"1135",3,3,""
"1136",2,1,""
"1137",3,1,""
"1138",5,5,""
"1139",NA,NA,""
"1140",2,5,"It might seem useful for Pointy Haired Bosses, but I despise ""certs"" as a way to soak money out of companies to give pieces of paper to those who memorize trivia."
"1141",NA,NA,""
"1142",4,5,""
"1143",NA,NA,""
"1144",2,2,"it would be nice to have a open source online test to see how proficient someone is in perl"
"1145",NA,NA,""
"1146",2,3,"Oh god, Perl certification just won't stay dead.[CR][CR]I have no doubt that some sort of Official Perl Certification will enable companies to hire easier, nobody's yet shown that it means they can hire better. The first hurdle Perl certification must jump is demonstrating to peers that one can write a test which checks that you're a competent Perl programmer.[CR][CR]The worst scenario is an Official Perl Certification stamp becomes an arbitrary first pass filter for hiring agencies. Something that tests an arbitrary set of largely unrelated or trivial information (that which is easily testable), which good programmers know is useless, but hiring agencies nevertheless look for and everybody feels they should have."
"1147",NA,NA,""
"1148",3,5,"a certification only makes sense when perl gets stronger and gets more ground in companies again and a certificate is worth something to have to get a job and grade up the CV."
"1149",2,2,""
"1150",NA,NA,""
"1151",3,5,""
"1152",NA,NA,""
"1153",2,2,""
"1154",2,2,"I don't pay heed to certification in languages -- there doesn't seem to be much correlation between on the job performance and certification."
"1155",NA,NA,""
"1156",3,1,""
"1157",2,5,"It would help Perl in big shops"
"1158",3,5,"I don't have any certifications of any kind and have no intention of ever getting any, but others seem to like the idea."
"1159",6,6,"should be for different roles, (system adminsitrators, developers, solution architects etc) and of different complexity levels (begginer, intermediate, etc)"
"1160",2,2,""
"1161",1,1,"A fundamentally bad idea."
"1162",NA,NA,""
"1163",6,6,""
"1164",7,7,""
"1165",7,7,""
"1166",1,6,""
"1167",NA,NA,""
"1168",1,5,""
"1169",NA,NA,""
"1170",7,7,""
"1171",NA,NA,""
"1172",3,3,""
"1173",3,3,"certification is generally meaningless for everything else.  Only benefit might be to encourage more adoption by corporate management.  "
"1174",NA,NA,""
"1175",NA,NA,""
"1176",3,5,""
"1177",NA,NA,""
"1178",5,6,""
"1179",5,5,""
"1180",1,1,""
"1181",NA,NA,""
"1182",3,5,""
"1183",NA,NA,""
"1184",3,4,""
"1185",NA,NA,""
"1186",NA,NA,""
"1187",NA,NA,""
"1188",NA,NA,""
"1189",3,6,"I'm self taught and amateur so it's not really relevant to me but a career professional would probably benefit from a formal qualification."
"1190",2,2,""
"1191",6,6,""
"1192",NA,NA,""
"1193",3,3,"I've met many ""educated"" people with certificates and diplomas that couldn't hack their way out of a wet paper bag. Unless it's a CCIE or something, I'll probably just for bad for them believing that one more cert would get them the big paying job."
"1194",5,5,"I don't put much stock in certification, perl or not."
"1195",3,4,""
"1196",NA,NA,""
"1197",NA,NA,""
"1198",NA,NA,""
"1199",5,5,"Well, it's one of those things that managers like to look at, and some of my buddies love framing their certs for whatever.  I don't know, I don't care, they have all kinds of certs I've never bothered to get, I'd probably not get a perl cert either."
"1200",5,5,""
"1201",NA,NA,""
"1202",1,1,""
"1203",1,5,""
"1204",NA,NA,""
"1205",3,3,""
"1206",1,1,"Not worth it.  "
"1207",NA,NA,""
"1208",NA,NA,""
"1209",2,2,"Certification is a way for executives to avoid having to take responsibility for finding out if someone knows something.  90% of them are snake oil."
"1210",1,1,""
"1211",2,2,"I don't see the point"
"1212",1,1,""
"1213",2,2,""
"1214",NA,NA,""
"1215",5,6,"Only if it brings the whole CPAN ecosphere into play"
"1216",5,5,""
"1217",2,2,"It seems pointless. "
"1218",7,7,""
"1219",4,5,"not really"
"1220",3,6,""
"1221",2,3,"a lousy idea"
"1222",3,5,"Don't let it turn into something less than useful (as most certifications are)."
"1223",NA,NA,""
"1224",1,6,""
"1225",2,2,"meh"
"1226",3,3,"a certificate only tells me that someone has passed a set of tests, but not if he understands Perl concepts. Only understanding concepts means you can master something."
"1227",NA,NA,""
"1228",2,2,""
"1229",6,6,"Sounds like a good idea, I would personally take it I think."
"1230",6,6,""
"1231",7,6,"Good idea I would love a perl certificate"
"1232",NA,NA,""
"1233",5,6,"if the cost is reasonable and the exams ""real-life"" oriented, any certification may be useful for any programmer, and those who hire them"
"1234",NA,NA,""
"1235",1,1,""
"1236",6,7,"An excellent idea, useful when job hunting."
"1237",NA,NA,""
"1238",7,7,"Before accrediting developers, get the Perl organization accredited too! We have to win faith among the industry leaders, and if we are messy, and an unorganized bunch of misfits, management will keep the game at another court where Perl is not invited. Perl is not the center, the customer is, and Perl must adapt to the customer, from there we can move the customer, but not from afar."
"1239",5,5,""
"1240",6,6,""
"1241",NA,NA,""
"1242",NA,NA,""
"1243",NA,NA,""
"1244",2,1,""
"1245",3,3,""
"1246",6,6,"Sign me up."
"1247",NA,NA,""
"1248",2,2,"Nearly impossible to cover real-world requirements. Perl is a language, what is important is the ability to use the language and the modules. This can't be tested well (test would be either to easy - than it says nothing, or to heavy - than very less people will have it and noone knows about)."
"1249",NA,NA,""
"1250",NA,NA,""
"1251",6,6,""
"1252",7,7,"Certification would really give me confidence about my skill in Perl and also to contribute to the community and language.[CR]Charging for certification could prove as a decent channel for funding R&D projects in Perl."
"1253",3,6,""
"1254",2,2,""
"1255",NA,NA,""
"1256",3,3,"i don't like the idea for any programming language"
"1257",2,1,""
"1258",5,5,""
"1259",5,5,""
"1260",NA,NA,""
"1261",NA,NA,""
"1262",2,2,""
"1263",6,6,""
"1264",NA,NA,""
"1265",5,5,""
"1266",2,2,"Clueless programmers like to hide behind a cert, and clueless HR types like to demand them. You can learn more about a programmer with a 5 minute whiteboard exercise than you ever could from a cert."
"1267",NA,NA,""
"1268",3,3,""
"1269",3,3,""
"1270",NA,NA,""
"1271",5,5,"Can't see it gaining much traction."
"1272",NA,NA,""
"1273",1,1,""
"1274",NA,NA,""
"1275",NA,NA,""
"1276",3,3,"Certifications seldom say anything about the skill of the craftsman or designer behind the certificate. I almost consider certification a minus when I see it on a CV."
"1277",NA,NA,""
"1278",1,6,""
"1279",1,1,""
"1280",2,2,""
"1281",6,5,""
"1282",2,2,"Dislike certs in general; dislike the idea of Perl certs with a passion. "
"1283",NA,NA,""
"1284",6,1,""
"1285",NA,NA,""
"1286",NA,NA,""
"1287",7,7,""
"1288",3,3,""
"1289",3,3,"Certifications are too often given to people who give the bare minimum to attain the cert, simply to have the cert. Due to this, the value of a cert is diluted and not particularly useful at showing whether a person is skilled, just that they have the ability to get a cert."
"1290",NA,NA,""
"1291",NA,NA,""
"1292",NA,NA,""
"1293",3,3,""
"1294",3,4,""
"1295",NA,NA,""
"1296",2,2,"It isn't needed"
"1297",4,7,""
"1298",1,1,""
"1299",NA,NA,""
"1300",NA,NA,""
"1301",3,3,""
"1302",6,6,""
"1303",3,4,""
"1304",NA,NA,""
"1305",5,5,""
"1306",5,5,""
"1307",6,6,""
"1308",5,5,""
"1309",NA,NA,""
"1310",1,6,"Formulisation of best/prefered practices to bring more consistency to Perl development would make bringing on new staff better."
"1311",1,1,""
"1312",1,1,"Who would be the certifying authority?"
"1313",5,5,""
"1314",2,2,""
"1315",6,6,""
"1316",NA,NA,""
"1317",2,2,"My experience with ""certified"" people is poor.  There are good ones, of course, but these are people who sought to learn outside of their certification.  They seem a flimsy piece of paper proving nothing about the capabilities of the person."
"1318",1,1,""
"1319",3,5,"For starter/junior level sure, senior level it's more about experience"
"1320",NA,NA,""
"1321",2,2,""
"1322",1,1,"A cert says: WE (the CA) confirm the programmer's abilities (likely, according to the CA's guidelines of being good in perl). Opponent to tradition of C (for example), programming in perl can be of very individual style, but nontheless very good. So, what is it exactly that is to be verified? The style of using perl? It's an artificial cert then. Or, its a cert confirming something that doesn't concern perl. hmmm. Nonsense to me."
"1323",3,3,"Certification doesn't tell you whether somebody is a good programmer"
"1324",2,6,"We have always had a difficult time hiring good perl programmers, because everyone ""knows"" perl according to their resume.  Of course it is hard to find people who can program at all."
"1325",3,3,"meh"
"1326",6,6,""
"1327",4,4,"None. I generally don't think certification is that important/meaningful in the dynamic changing nature of IT."
"1328",5,6,"its an interesting idea , it might be better to have some kind of module or task specific qualifications instead of a generic one that would struggle to be relevant across all the applications Perl has."
"1329",5,5,""
"1330",3,5,""
"1331",NA,NA,""
"1332",3,5,""
"1333",NA,NA,""
"1334",NA,NA,""
"1335",NA,NA,""
"1336",1,1,""
"1337",2,4,""
"1338",2,2,""
"1339",6,7,"its marketing. 10-15 years after Microsoft and others had the same idea. Its about time!!!"
"1340",2,1,""
"1341",5,5,"I know that it is a controversial topic, but I lean toward wanting an officially sanctioned certification from TPF."
"1342",3,5,""
"1343",6,7,""
"1344",NA,NA,""
"1345",6,5,"It would be wonderful, but how to realize it?"
"1346",5,5,""
"1347",4,6,""
"1348",NA,NA,""
"1349",5,5,"Official certifications are useful if companies value them.[CR]They stay useful if they are sufficiently hard, and the system is not abused.[CR]IMHO certifications are usually not a show of skill, but of rote memorization.[CR]They would be useful to most people since some of their superiors look at such things as a judge of quality. A notch on their belt.[CR]They would be useful to me as a lie detector or filter. I would know that the person applying for a job has at least looked at perl code. I would still test to see if they can solve problems."
"1350",1,5,""
"1351",5,5,"having a certification would allow to distinguish idiots from real perl-programmers. Would be great to know something exitsted."
"1352",2,2,"I've never gotten certified in anything, so I don't know what the benefits would be.[CR][CR]Well, not unless you count a college degree, which is kinda like certification, which actually did work out really well for me."
"1353",6,6,"do it, but don't make it too expensive, many freelancers out there"
"1354",NA,NA,""
"1355",6,6,""
"1356",NA,NA,""
"1357",5,5,""
"1358",NA,NA,""
"1359",1,1,""
"1360",3,1,"Managers have no idea what Perl is. But if I were ""certified,"" that might impress them."
"1361",3,1,"Your project portfolio speaks more than any certification."
"1362",3,5,""
"1363",1,1,""
"1364",6,6,"about time"
"1365",5,1,"Maybe helpful assuring Perl skills to others (Customers, Enterprise you apply for)"
"1366",5,1,""
"1367",NA,NA,""
"1368",2,2,"quis custodiet ipsos custodes"
"1369",6,6,""
"1370",2,2,"I think certification in general is a bad idea. Write free software. Release it. If people use it, then there's your qualification."
"1371",1,1,""
"1372",2,3,"It is easy to determine in a phone screen if someone actually knows perl in any depth or not.  Certifications are only useful for HR pre-screening."
"1373",3,5,""
"1374",5,6,"It is a fine idea, but might be hard to implement and retain the 'community' aspect. I mean, one thing is say 'all money will be reverted to TPF', another is make the certification available to all communities worldwide. Who would translate? Who would validate? How would it be executed? How expensive would it be for a regional company/PM group to be an 'official certifier'? This is easy with a company but with TPF? Maybe we should exchange ideas with the LPI. Still, *much care* should be taken to prevent this from segregating TPF with the worldwide Perl community itself."
"1375",NA,NA,""
"1376",1,1,""
"1377",6,6,""
"1378",2,2,""
"1379",2,1,""
"1380",5,5,""
"1381",NA,NA,""
"1382",7,1,""
"1383",NA,NA,""
"1384",NA,NA,""
"1385",1,1,""
"1386",NA,NA,""
"1387",2,2,"Forget certification, provide marketing. Tell about perl to *companies*. Communicate. "
"1388",1,1,""
"1389",5,6,"I know that it's been debated for a while.  I would like to see something in the way of Perl certification.  I would encourage people to look into getting certified."
"1390",1,1,""
"1391",5,6,"LPI 30X: Automation of administrative tasks"
"1392",NA,NA,""
"1393",5,5,"I hadn't heard of it before now."
"1394",5,6,"MIght be useful to provide standards for readability"
"1395",2,2,""
"1396",4,4,""
"1397",NA,NA,""
"1398",2,4,""
"1399",7,7,""
"1400",2,NA,"Certification sucks"
"1401",NA,NA,""
"1402",5,5,""
"1403",NA,NA,""
"1404",1,1,""
"1405",6,1,""
"1406",5,5,"would only really be useful if the industry was behind it the same way as it is for java and .Net"
"1407",7,7,""
"1408",2,2,""
"1409",3,1,""
"1410",NA,NA,""
"1411",NA,NA,""
"1412",1,1,"I would want the certification process to be rigorous - a provable knowledge set would be nice"
"1413",NA,NA,""
"1414",NA,NA,""
"1415",2,2,""
"1416",3,3,""
"1417",4,5,""
"1418",6,6,""
"1419",NA,NA,""
"1420",5,5,""
"1421",6,6,""
"1422",4,4,"I feel like certification in Java or .NET is just a way for people to collect titles and aren't particularly or absolutely reflective of the skills of the holder."
"1423",6,6,""
"1424",6,6,""
"1425",2,2,"Also include ""Programmers Notepad 2"" in the list of editors, it's the best editor for perl you can have."
"1426",5,5,""
"1427",1,6,"promote Perl first then work on training/certification"
"1428",NA,NA,""
"1429",1,6,""
"1430",NA,NA,""
"1431",3,1,""
"1432",6,6,""
"1433",NA,NA,""
"1434",5,5,""
"1435",5,5,""
"1436",2,2,"I find that certifications, in general, are a poor representation of a developers skills."
"1437",5,5,""
"1438",2,2,"Why bother?"
"1439",3,6,""
"1440",2,2,"Perl, and most technical certification, seems silly to me. "
"1441",1,1,""
"1442",1,5,""
"1443",2,2,""
"1444",NA,NA,""
"1445",2,2,""
"1446",6,6,""
"1447",NA,NA,""
"1448",1,6,""
"1449",6,3,""
"1450",NA,NA,""
"1451",2,3,"I have never yet encountered a certification scheme that seemed to me to have any value, and I see no reason why one for Perl would be any different."
"1452",3,4,""
"1453",5,5,""
"1454",NA,NA,""
"1455",6,6,""
"1456",NA,NA,""
"1457",3,1,""
"1458",NA,NA,""
"1459",3,3,"I've never understood the hype of certification"
"1460",3,4,""
"1461",2,2,"Please don't do that."
"1462",5,6,"Like it"
"1463",1,1,""
"1464",6,6,""
"1465",3,5,""
"1466",2,5,"I can see it being useful in the hiring process"
"1467",2,2,""
"1468",2,5,""
"1469",2,5,""
"1470",NA,NA,""
"1471",6,6,""
"1472",5,6,"I personally think it is useless but management/recruiters think it is important so I would like to see it happen."
"1473",5,5,""
"1474",6,6,""
"1475",2,1,""
"1476",5,5,"Needs to relate to real world usage of PERL."
"1477",1,1,""
"1478",NA,NA,""
"1479",4,4,"How good idea this is depends a lot on how it is implemented. It could lead to more standarisation in a programmering language that needs it but then the standard that was adopted would have to be good."
"1480",3,5,""
"1481",1,1,""
"1482",NA,NA,""
"1483",5,5,""
"1484",NA,NA,""
"1485",4,5,""
"1486",3,5,""
"1487",NA,NA,""
"1488",3,5,"I really don't trust certifications"
"1489",7,7,"It would be nice to have perl certs for different disciplines.  I feel I'm a reasonably good perler for systems engineering tasks especially, but I'm not a developer and don't really have a full-scale developer mentality.  If it was a perl certification specifically tailored to developers, it would likely preclude me from being able to get the certification without a great deal of training."
"1490",5,5,""
"1491",6,6,""
"1492",1,1,"Haven't given it much thought.  I'm not sure certification of any sort really means much."
"1493",3,3,""
"1494",NA,NA,""
"1495",3,1,""
"1496",5,5,""
"1497",NA,NA,""
"1498",NA,NA,""
"1499",6,6,""
"1500",NA,NA,""
"1501",5,5,""
"1502",3,4,"cya"
"1503",NA,NA,""
"1504",NA,NA,""
"1505",1,1,""
"1506",1,1,""
"1507",NA,NA,""
"1508",6,7,""
"1509",1,1,"why not! It might help improve the management-level image of perl"
"1510",1,1,""
"1511",3,3,"If it would be free, it won't be successful and really well managed, if it wouldn't be free, well, you gotta have moneys "
"1512",5,6,"I like the idea of providing a certificate because it is a trend nowadays to pretend to know as many programming language as possible. A sentence I heard often at university was ""If you know PHP you also can program in Perl or Python"" or vice versa. With a certificate you could proof your explicit knowledge."
"1513",NA,NA,""
"1514",6,6,"The market is full of ""hobby programmers"" who have never done professional Perl code and it hurts the image of the language. A certification that focuses on in-depth understanding of Perl's object Oriented implementation and data types would go a long way toward gaining acceptance in the corporate buzz word realm."
"1515",4,4,""
"1516",1,1,""
"1517",5,7,"I think it's a great idea"
"1518",NA,NA,""
"1519",3,3,""
"1520",2,3,""
"1521",4,5,"since there are 10 different ways to do everything in perl how do you certify one method ?"
"1522",NA,NA,""
"1523",3,5,""
"1524",NA,NA,""
"1525",2,2,"Don't Know"
"1526",NA,NA,""
"1527",6,6,"The certification would hopefully remove the need for recruiter/employer Perl tests of doubtful usefulness.  "
"1528",NA,NA,""
"1529",NA,NA,""
"1530",6,6,""
"1531",NA,NA,""
"1532",3,1,""
"1533",2,2,""
"1534",2,1,""
"1535",NA,NA,""
"1536",NA,NA,""
"1537",NA,NA,""
"1538",3,1,"fascism, socialism, communism, corporatism, and globalism suck"
"1539",7,7,"For Latin America, Venezuela Please. "
"1540",NA,NA,""
"1541",5,6,""
"1542",6,6,""
"1543",1,1,""
"1544",2,3,""
"1545",5,5,""
"1546",1,1,""
"1547",6,7,""
"1548",5,5,""
"1549",NA,NA,""
"1550",4,5,""
"1551",NA,NA,""
"1552",3,1,""
"1553",2,2,""
"1554",7,7,"its ery good idea"
"1555",3,3,"I think programming in perl is so easy that there is no vertification necessary. Java and .net e.g. have a hughe standard library deployed with different concepts (beans, transactions, etc.)"
"1556",2,6,""
"1557",6,6,"Should certify that one knows modern perl."
"1558",5,5,""
"1559",1,1,"Certifications are for posers."
"1560",3,5,"May be useful for hiring, if the certification was of sufficient depth, it may give me confidence of a prospective team members grasp of good Perl practices"
"1561",5,5,""
"1562",3,7,"I think it'd be useful, but I don't work in software so this question is irrelevant."
"1563",5,5,""
"1564",NA,NA,""
"1565",7,7,""
"1566",NA,NA,""
"1567",3,3,"""certification"" is like ""compliance"" - it's only useful in corporate environments, for CYA."
"1568",NA,NA,""
"1569",1,5,""
"1570",2,2,"I dislike all certifications."
"1571",2,2,""
"1572",2,2,"Certs are difficult to be meaningful and those that are meaningful are quite expensive. Eventually all certs become revenue generators not certification that anyone knows what they are doing.[CR][CR]A Perl union like carpenters or electricians would be better than a cert."
"1573",3,3,""
"1574",NA,NA,""
"1575",3,5,""
"1576",2,2,"Who cares?"
"1577",1,1,""
"1578",1,1,""
"1579",2,2,""
"1580",3,1,""
"1581",NA,NA,""
"1582",1,1,""
"1583",NA,NA,""
"1584",5,5,""
"1585",1,1,""
"1586",5,6,""
"1587",3,1,""
"1588",5,5,"couldn't hurt."
"1589",3,5,""
"1590",NA,NA,""
"1591",4,6,""
"1592",7,6,""
"1593",1,1,""
"1594",2,3,"I never really liked certifications."
"1595",NA,NA,""
"1596",6,6,"Could there be a certification system similar to the LPI: Linux certification system. Sometimes not enough to know Perl, you must prove that he knows."
"1597",7,6,"Take LPI as a role model, that is no vendor certification."
"1598",5,5,""
"1599",3,3,""
"1600",6,6,""
"1601",3,1,""
"1602",NA,NA,""
"1603",6,6,""
"1604",2,5,"What are the Official Perl certification ?"
"1605",NA,NA,""
"1606",NA,NA,""
"1607",NA,NA,""
"1608",1,1,""
"1609",2,2,""
"1610",2,2,""
"1611",1,1,"I don't know what it would entail"
"1612",7,7,"As long as it can't be gamed like other certs. Also, it would be nice for different levels such as the difference between RHCE and RHCT etc. That way, interviewers can identify the different between developers"
"1613",7,7,""
"1614",6,6,""
"1615",3,5,"There's a vast gulf between syntax and skill.  I'd rather see people with skill who can learn syntax."
"1616",NA,NA,""
"1617",4,6,""
"1618",2,1,""
"1619",1,1,""
"1620",6,5,""
"1621",6,6,"It should be not very expensive[CR]It should contain several degrees and the first and the lowest should be from the point of view of modern perl features and include checking of knowledge of language basics. there also should be a degree, that checks the knowledge of perl internals, XS, etc."
"1622",NA,NA,""
"1623",3,3,""
"1624",NA,NA,""
"1625",5,5,""
"1626",5,5,"Not sure how much certification help people on actual programming job. "
"1627",4,4,""
"1628",NA,NA,""
"1629",6,6,""
"1630",4,4,""
"1631",5,5,""
"1632",NA,NA,""
"1633",1,6,""
"1634",3,3,""
"1635",NA,3,"The idea could be helpful, but in a limited scope.[CR]For technical qualifications, it can prove a candidates grasp of the language. That is, a cert of the language concepts, and syntax.[CR]It cannot completely capture thought the depth and dynamics of CPAN (Java/.NET have standard libraries, Python have batteries-included).[CR]It cannot completely assess the strength of a programmer in terms of code-reuse (choosing the right module at CPAN), module-design (CPAN contributions can be proof), perl-style (some good PBP), algorithm/data-structure basics. And probably more."
"1636",4,1,""
"1637",NA,NA,""
"1638",NA,NA,""
"1639",3,5,""
"1640",3,3,""
"1641",3,1,""
"1642",3,3,""
"1643",2,2,""
"1644",3,5,"If it hasn't happened by now, there probably is not a need."
"1645",1,1,"not really."
"1646",3,3,""
"1647",NA,2,""
"1648",NA,NA,""
"1649",NA,NA,""
"1650",3,4,"Certifications don't mean much normally"
"1651",1,1,""
"1652",NA,NA,""
"1653",3,3,"Certifications give a false perception that someone is good in programming, when all he might be good at is passing exams."
"1654",3,6,"There should be multiple levels of certification if you do it (basic and expert if you will), and if people don't leave the expert test crying, then it's not a very good test."
"1655",NA,NA,""
"1656",2,5,""
"1657",2,2,""
"1658",6,6,"Write code that is STRICT![CR]Write code that other people can understand and you too after a 1/2 year.[CR]Efficient OOP should be a major scope.[CR]Large projects instead of just tiny little helpers."
"1659",3,3,"If it would help me get a new job, sure, but I am skeptical that it would."
"1660",NA,NA,""
"1661",NA,NA,""
"1662",3,4,""
"1663",NA,NA,""
"1664",3,3,""
"1665",3,3,""
"1666",5,5,""
"1667",6,5,"I can say only the one thing: Perl certification on Brainbench.com is terrible."
"1668",3,5,"It goes against the culture. Cookie-cutter programmers are not what perl is about."
"1669",NA,NA,""
"1670",NA,NA,""
"1671",5,5,""
"1672",5,6,""
"1673",6,6,""
"1674",3,5,"It's pretty meaningless, but managers seem to like it"
"1675",NA,NA,""
"1676",7,7,""
"1677",3,3,""
"1678",7,7,"Commercial organizations perceive certification as an indicator of a 'real' language.[CR]Also, this would help bring Perl coding into some sort of standard, and make maintaining other peoples projects more efficient and enjoyable."
"1679",NA,NA,""
"1680",NA,NA,""
"1681",NA,NA,""
"1682",2,5,"My experience with certification is that just because you have a certification does not mean you are any good at it (what ever the certification is in) so to me they are not as useful as feedback from others as to how good someone it"
"1683",2,4,"I would never hire by certification, I would hire by passion and maybe send someone on certification to get up to speed with a language"
"1684",NA,NA,""
"1685",7,7,"If there's a way to provide online exams to get the certificate it would be good.[CR]or use test centers around the world.[CR][CR]I'd be interested in having one."
"1686",NA,NA,""
"1687",NA,NA,""
"1688",NA,NA,""
"1689",4,5,""
"1690",3,3,"certifications are trendy things. small business doesn't care and large business only uses it to weed out resumes. don't the point, but might help non programers who have no idea. having been on many selection panels, the quality of the resume says so much more than any number of certs, especially multi-guess types."
"1691",6,6,"Needs to be available internationally."
"1692",NA,NA,""
"1693",3,1,""
"1694",6,6,""
"1695",NA,NA,""
"1696",NA,NA,""
"1697",NA,NA,""
"1698",1,1,""
"1699",2,5,"It could be interesting to know how familiar with modern perl programming candidates are. If that was expressed through a Perl certification, then that could be useful."
"1700",1,1,""
"1701",3,5,"Why?"
"1702",1,1,""
"1703",NA,NA,""
"1704",3,3,"I don't think its a nice idea to add a formal aura.[CR]Plus how would that make Perl more popular.[CR]Only very popular and commercial tools need certifications"
"1705",3,3,"I don't like certification programs. I don't think certification correlates well to ability/knowledge/skill."
"1706",6,7,"It would help me select jobbing contractors."
"1707",NA,NA,""
"1708",NA,NA,""
"1709",3,1,""
"1710",NA,NA,""
"1711",1,1,"Looks like a joke but a bad one."
"1712",6,7,""
"1713",NA,NA,""
"1714",1,1,""
"1715",4,5,""
"1716",NA,NA,""
"1717",3,1,"I think it won't be very popular in Russia.[CR]But if it be not very expencive, I'll get it but just for fun."
"1718",2,2,""
"1719",2,2,"Certification provides little useful information as to how good a programmer is at programming or the language, but does tell me how good they are at prepping for a certification test."
"1720",1,1,"Huh? I always thought those classes/certifications were one step away from being scams."
"1721",2,2,"I think it could be a good idea; I don't tend to work for the sorts of companies that value those things as I go by my experience."
"1722",NA,NA,""
"1723",1,5,"I generally mistrust certification, but mostly from dealing with people that had certificates that meant nothing."
"1724",3,3,""
"1725",3,5,"maybe good for new programmers to gain good programming practices and to learn about things that exist out there. Most bad code comes from ignorance."
"1726",4,6,""
"1727",NA,NA,""
"1728",3,6,""
"1729",6,6,""
